ts,source,can_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label
1478199610.844075,DoS,848,8,5,32,244,104,119,0,0,206,0
1479121533.45944,Normal,608,8,12,27,26,48,255,159,155,12,0
1478200957.158417,DoS,1088,8,255,0,0,0,255,202,8,0,0
1478200173.847692,DoS,304,8,26,128,0,255,33,128,4,223,0
1479121910.852282,Normal,305,8,242,127,0,0,112,127,3,87,0
1478198382.843078,DoS,1072,8,0,0,0,0,0,0,0,0,0
1478198390.758407,DoS,672,8,36,0,154,29,151,2,189,0,0
1478199593.287876,DoS,0,8,0,0,0,0,0,0,0,0,1
1478200563.827737,DoS,848,8,5,32,228,104,117,0,0,220,0
1478199724.028155,DoS,2,8,0,0,0,0,0,5,12,247,0
1478198596.157857,DoS,672,8,68,0,154,29,151,2,189,0,0
1478199219.113547,DoS,1264,8,0,0,0,128,0,105,209,19,0
1478201139.804637,DoS,1072,8,0,0,0,0,0,0,0,0,0
1478198482.381527,DoS,880,8,0,32,0,0,0,0,0,0,0
1478200399.684515,DoS,1264,8,0,0,0,128,0,105,209,19,0
1478196844.120453,Fuzzy,305,8,14,128,0,0,30,127,9,199,0
1478199545.183971,DoS,320,8,0,0,0,0,4,41,47,83,0
1479121510.015794,Normal,848,8,5,40,116,102,107,0,0,84,0
1478199781.633061,DoS,0,8,0,0,0,0,0,0,0,0,1
1478194223.856796,gear,672,8,64,0,150,29,151,2,189,0,0
1478200090.556547,DoS,399,8,254,93,0,0,0,60,0,0,0
1478199438.67974,DoS,2,8,0,0,0,0,0,4,4,83,0
1478196499.760502,Fuzzy,1088,8,255,0,0,0,255,216,8,0,0
1479121825.832561,Normal,880,8,0,46,0,1,0,0,0,0,0
1478199523.243327,DoS,0,8,0,0,0,0,0,0,0,0,1
1479121450.179189,Normal,399,8,254,52,0,0,0,81,0,0,0
1478200869.249856,DoS,790,8,5,33,76,10,33,30,0,111,0
1478199073.084274,DoS,305,8,0,128,0,0,86,127,3,120,0
1478199954.586264,DoS,304,8,24,128,0,255,14,128,13,38,0
1478194698.525424,gear,305,8,0,128,0,0,45,127,0,151,0
1478199265.645808,DoS,339,8,0,33,16,255,0,255,0,0,0
1478192235.345315,RPM,1087,8,0,64,96,255,120,183,8,0,0
1479121873.065629,Normal,1088,8,255,1,0,0,255,117,1,100,0
1478200031.496806,DoS,320,8,0,0,0,0,14,34,40,129,0
1478199311.483822,DoS,672,8,68,0,154,29,151,2,189,0,0
1478200961.723659,DoS,608,8,27,35,35,48,8,142,111,51,0
1478200835.467603,DoS,2,8,0,0,0,0,0,1,9,179,0
1478198727.925502,DoS,0,8,0,0,0,0,0,0,0,0,1
1478200126.218116,DoS,2,8,0,0,0,0,0,6,9,74,0
1478200771.328253,DoS,161,8,126,138,0,0,35,0,0,0,0
1478199397.938252,DoS,880,8,0,32,0,0,0,0,0,0,0
1478193979.581248,gear,1088,8,255,0,0,0,255,77,9,0,0
1478199123.884524,DoS,704,8,20,0,0,0,0,0,0,0,0
1479121719.197504,Normal,688,5,202,255,2,7,207,0,0,0,0
1478200262.263662,DoS,2,8,0,0,0,0,0,8,14,246,0
1478198390.842955,DoS,1201,8,41,39,39,35,0,0,0,154,0
1478200776.221374,Fuzzy,1680,8,0,0,1,0,160,34,0,0,0
1478200646.965864,DoS,0,8,0,0,0,0,0,0,0,0,1
1478200172.787736,DoS,304,8,19,128,0,255,255,127,10,6,0
1478195820.381555,Fuzzy,608,8,27,34,35,48,8,142,104,59,0
1478200943.487064,DoS,1088,8,255,0,0,0,255,193,8,0,0
1478200512.698097,DoS,704,8,20,0,0,0,0,0,0,0,0
1478191209.813032,RPM,304,8,9,128,0,255,49,128,2,215,0
1478197072.700049,Fuzzy,1088,8,255,0,0,0,255,206,8,0,0
1478201133.421931,RPM,1349,8,216,97,0,128,0,0,0,0,0
1478199501.520739,DoS,0,8,0,0,0,0,0,0,0,0,1
1478200930.034548,DoS,2,8,0,0,0,0,0,9,10,206,0
1479121542.530853,Normal,880,8,0,32,0,0,0,0,0,0,0
1478199048.314143,DoS,1520,2,1,0,0,0,0,0,0,0,0
1478200539.701319,DoS,320,8,0,0,0,0,4,0,47,48,0
1478201137.358607,DoS,1264,8,0,0,0,128,0,105,209,19,0
1478191073.641582,RPM,809,8,64,181,126,20,17,32,0,20,0
1478198535.307402,DoS,305,8,14,128,0,0,68,127,15,254,0
1478197747.008432,Fuzzy,2033,8,3,52,49,213,246,253,82,218,1
