ts,source,can_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label
1478201136.468077,Fuzzy,790,8,5,35,120,9,35,34,0,109,0
1478193529.117954,gear,1201,8,0,0,0,0,0,0,0,0,0
1479121683.048314,Normal,848,8,5,40,68,103,106,0,0,100,0
1478200774.182555,Fuzzy,320,8,0,0,0,0,4,41,40,0,0
1478194524.367906,gear,704,8,21,0,0,0,0,0,0,0,0
1478197415.177543,Fuzzy,399,8,254,84,0,0,0,60,0,0,0
1478201132.611149,Fuzzy,790,8,5,35,92,9,35,34,0,109,0
1478197641.607607,Fuzzy,790,8,81,91,62,8,80,175,13,43,1
1478193572.02761,gear,608,8,27,32,30,48,8,142,93,25,0
1478192703.934511,RPM,304,8,15,128,0,255,245,127,14,127,0
1478193536.916106,gear,672,8,96,0,149,28,151,2,189,0,0
1478197270.169448,Fuzzy,696,8,146,85,15,109,254,222,128,58,1
1478197677.344888,Fuzzy,305,8,23,128,0,0,42,127,7,121,0
1478198121.412472,Fuzzy,1349,8,216,0,0,133,0,0,0,0,0
1478196968.986678,Fuzzy,497,8,8,0,0,0,0,0,0,0,0
1478197612.868111,Fuzzy,1088,8,255,0,0,0,255,198,8,0,0
1478200790.970749,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478201025.260591,Fuzzy,305,8,219,127,0,0,89,127,13,162,0
1478191423.360065,RPM,2,8,0,0,0,0,0,1,14,224,0
1478197463.324172,Fuzzy,1789,8,170,159,236,181,191,136,155,133,1
1478196217.583128,Fuzzy,1349,8,216,94,0,138,0,0,0,0,0
1478200838.795128,Fuzzy,790,8,5,34,96,9,34,33,0,111,0
1478196815.807083,Fuzzy,1088,8,255,0,0,0,255,222,8,0,0
1478200825.190823,Fuzzy,880,8,0,32,0,0,0,0,0,0,0
1478196293.159341,Fuzzy,608,8,25,34,34,48,8,142,111,4,0
1478201186.923859,Fuzzy,848,8,5,32,20,104,116,0,0,45,0
1478196072.526938,Fuzzy,688,5,0,0,0,7,218,0,0,0,0
1479121473.728565,Normal,1072,8,0,0,0,0,0,0,0,0,0
1478196947.377849,Fuzzy,809,8,220,184,127,20,17,32,0,20,0
1478196107.689251,Fuzzy,1264,8,0,0,0,128,0,104,209,19,0
1478196326.006867,Fuzzy,599,8,228,56,68,236,220,131,69,165,1
1478200735.03336,Fuzzy,304,8,25,128,0,255,241,127,13,52,0
1478197514.97041,Fuzzy,2,8,0,0,0,0,0,1,9,179,0
1478196045.334394,Fuzzy,1340,8,94,170,103,253,227,46,43,141,1
1478200953.849512,gear,790,8,5,34,108,9,34,33,0,110,0
1478195886.127733,Fuzzy,848,8,5,32,228,104,119,0,0,222,0
1478200768.450474,gear,2,8,0,0,0,0,0,3,11,17,0
1478201166.14473,Fuzzy,1072,8,0,0,0,0,0,0,0,0,0
1478201142.852879,Fuzzy,399,8,254,86,0,0,0,60,0,0,0
1479121579.093649,Normal,704,8,20,0,0,0,0,0,0,0,0
1478200922.353922,Fuzzy,1072,8,0,0,0,0,0,0,0,0,0
1478196131.720695,Fuzzy,1072,8,0,0,0,0,0,0,0,0,0
1479121847.256371,Normal,399,8,254,47,0,0,0,60,0,0,0
1478200933.466788,Fuzzy,399,8,254,93,0,0,0,60,0,0,0
1478192029.025645,RPM,1087,8,0,64,96,255,119,194,8,0,0
1478197306.159421,Fuzzy,427,8,69,101,127,217,244,94,32,54,1
1478196647.699885,Fuzzy,304,8,22,128,0,255,15,128,14,143,0
1478197016.74517,Fuzzy,161,8,127,137,0,0,36,0,0,0,0
1479121723.884076,Normal,704,8,20,0,0,0,0,0,0,0,0
1478196280.169189,Fuzzy,1088,8,255,0,0,0,255,198,8,0,0
1478192856.767232,RPM,320,8,0,0,0,0,6,51,34,167,0
1478192531.006174,RPM,848,8,5,32,36,104,115,0,0,26,0
1478197859.65948,Fuzzy,880,8,0,32,0,0,0,0,0,0,0
1479121485.595291,Normal,704,8,20,0,0,0,0,0,0,0,0
1478196632.058499,Fuzzy,809,8,220,187,127,20,17,32,0,20,0
1478200784.735076,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478201094.952538,Fuzzy,790,8,5,33,120,9,33,33,0,111,0
1478194178.467488,gear,497,8,8,0,0,0,0,0,0,0,0
1478196279.450614,Fuzzy,608,8,25,34,34,48,8,142,113,3,0
1478197579.461854,Fuzzy,809,8,220,186,127,20,17,32,0,20,0
1478192933.282814,RPM,339,8,0,33,16,255,0,255,0,0,0
1478201117.16785,Fuzzy,305,8,242,127,0,0,78,127,4,37,0
1478197160.997666,Fuzzy,304,8,27,128,0,255,51,128,2,215,0
1478196416.187435,Fuzzy,672,8,36,0,153,29,151,2,189,0,0
1478197868.9107,Fuzzy,790,8,5,34,92,9,34,32,0,111,0
1478196692.013454,Fuzzy,764,8,139,230,27,221,0,220,94,63,1
1478197205.028537,Fuzzy,1444,8,183,31,24,57,214,21,174,252,1
1478196508.581631,Fuzzy,1087,8,0,64,96,255,125,198,8,0,0
1478196296.665816,Fuzzy,790,8,5,34,108,9,34,32,0,111,0
1478201052.150747,Fuzzy,1349,8,216,0,0,136,0,0,0,0,0
1478200279.222157,DoS,497,8,8,0,0,0,0,0,0,0,0
1478197818.810205,Fuzzy,848,8,5,32,148,104,119,0,0,174,0
1478196185.283441,Fuzzy,287,8,7,216,193,64,229,193,196,89,1
1478199008.287041,DoS,2,8,0,0,0,0,0,1,3,97,0
1478192553.020341,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478197693.812651,Fuzzy,1072,8,0,0,0,0,0,0,0,0,0
1478196561.942113,Fuzzy,9,8,162,44,167,205,218,42,126,114,1
1478196090.728193,Fuzzy,1349,8,216,0,0,135,0,0,0,0,0
1479121676.175949,Normal,1201,8,157,163,93,29,0,0,0,186,0
1478196937.041207,Fuzzy,18,8,22,154,12,199,144,31,18,196,1
1478197022.723887,Fuzzy,304,8,27,128,0,255,61,128,14,66,0
1478197341.875159,Fuzzy,161,8,126,137,0,0,36,0,0,0,0
1478196265.025058,Fuzzy,339,8,0,33,16,255,0,255,0,0,0
1478196384.673292,Fuzzy,608,8,26,33,34,48,8,142,104,62,0
1478195921.837239,Fuzzy,399,8,254,88,0,0,0,60,0,0,0
1478192610.937477,RPM,1201,8,0,0,0,0,0,0,0,0,0
1479121859.724178,Normal,1087,8,7,71,96,255,106,188,0,0,0
1478200905.320903,Fuzzy,809,8,220,187,127,20,17,32,0,20,0
1478193374.165609,gear,339,8,0,33,16,255,0,255,0,0,0
1478196631.980103,Fuzzy,688,5,0,0,0,7,233,0,0,0,0
1478200892.097464,Fuzzy,305,8,247,127,0,0,62,127,8,197,0
1478196835.749074,Fuzzy,672,8,4,0,154,29,151,2,189,0,0
1478197745.174433,Fuzzy,809,8,12,189,127,20,17,32,0,20,0
1478198080.375466,Fuzzy,399,8,254,87,0,0,0,60,0,0,0
1478196926.528023,Fuzzy,320,8,0,0,0,0,2,19,42,60,0
1478196587.79635,Fuzzy,1088,8,255,0,0,0,255,185,8,0,0
1478196248.925468,Fuzzy,790,8,5,33,108,9,33,32,0,111,0
1479121441.110907,Normal,1201,8,48,50,46,48,0,0,0,192,0
1478200951.842611,Fuzzy,2,8,0,0,0,0,0,8,15,235,0
1478196571.024499,Fuzzy,880,8,0,32,0,0,0,0,0,0,0
1478194981.578277,gear,1349,8,216,0,0,128,0,0,0,0,0
1479121774.920157,Normal,304,8,153,115,0,255,254,125,9,249,0
1479121666.576166,Normal,880,8,0,15,0,0,0,0,0,0,0
1478201138.686118,Fuzzy,790,8,5,35,116,9,35,34,0,110,0
1478196843.701077,Fuzzy,848,8,5,32,100,104,118,0,0,95,0
1478196108.424077,Fuzzy,672,8,100,0,153,29,151,2,189,0,0
1478197884.914986,Fuzzy,304,8,15,128,0,255,4,128,13,30,0
1478196143.281593,Fuzzy,1774,8,143,90,163,141,233,185,124,167,1
1478196978.860189,Fuzzy,608,8,25,34,34,48,8,142,111,55,0
1478200858.569604,Fuzzy,809,8,134,182,127,20,17,32,0,20,0
1478192177.952667,RPM,1088,8,255,0,0,0,255,139,9,0,0
1478191187.878341,RPM,790,8,69,41,36,255,41,36,0,255,1
1478196988.7302,Fuzzy,589,8,143,121,167,140,97,237,230,115,1
1479121664.657052,Normal,1201,8,45,42,85,20,0,0,0,192,0
1478200861.616072,RPM,790,8,5,33,48,10,33,30,0,111,0
1478197194.564543,Fuzzy,339,8,0,33,16,255,0,255,0,0,0
1478200142.923884,DoS,809,8,64,184,127,20,17,32,0,20,0
1478196253.521167,Fuzzy,846,8,190,78,209,248,157,227,220,224,1
1478197792.354134,Fuzzy,790,8,5,33,128,9,33,32,0,111,0
1478200748.227523,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478196169.835278,Fuzzy,970,8,75,157,151,89,161,247,79,32,1
1478200946.986232,Fuzzy,809,8,12,190,127,20,17,32,0,20,0
1478197604.2206,Fuzzy,399,8,254,86,0,0,0,60,0,0,0
1478200829.569157,Fuzzy,320,8,0,0,0,0,20,19,43,60,0
1478197893.371413,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478198130.037053,Fuzzy,304,8,15,128,0,255,24,128,14,43,0
1478197666.326573,Fuzzy,764,8,148,30,232,188,197,172,154,237,1
1478197302.553484,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1479121904.932647,Normal,320,8,0,0,0,0,18,37,35,165,0
1478198852.792895,DoS,2,8,0,0,0,0,0,0,5,99,0
1478196755.194793,Fuzzy,2,8,0,0,0,0,0,8,12,204,0
1479121439.324822,Normal,160,8,133,130,56,11,0,34,2,0,0
1478198096.391966,Fuzzy,399,8,254,82,0,0,0,60,0,0,0
1478200982.306776,Fuzzy,809,8,134,188,127,20,17,32,0,20,0
1478200879.142741,Fuzzy,809,8,220,184,127,20,17,32,0,20,0
1478199552.613458,DoS,608,8,25,33,33,48,8,143,107,60,0
1478200873.687164,Fuzzy,399,8,254,90,0,0,0,65,0,0,0
1478197785.789876,Fuzzy,399,8,254,86,0,0,0,60,0,0,0
1478197229.131756,Fuzzy,790,8,5,35,108,9,35,33,0,111,0
