ts,source,can_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label
1478192485.986034,RPM,672,8,0,0,146,29,150,2,189,0,0
1478192695.569301,RPM,880,8,0,32,0,0,0,0,0,0,0
1478192403.930898,RPM,790,8,69,41,36,255,41,36,0,255,1
1478191699.05977,RPM,1088,8,255,0,0,0,255,195,8,0,0
1478192924.717612,RPM,790,8,69,41,36,255,41,36,0,255,1
1478191431.124294,RPM,1088,8,255,0,0,0,255,195,8,0,0
1478192250.46792,RPM,1087,8,0,64,96,255,120,196,8,0,0
1478201171.998936,Fuzzy,608,8,25,34,34,48,8,142,109,6,0
1478192860.397457,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201006.840545,RPM,339,8,0,33,16,255,0,255,0,0,0
1478192499.444889,RPM,608,8,25,35,35,48,255,142,120,53,0
1479121818.518628,Normal,320,8,0,0,0,0,6,38,33,85,0
1478200808.452041,RPM,1088,8,255,0,0,0,255,216,8,0,0
1478193713.771088,gear,1349,8,216,0,0,130,0,0,0,0,0
1478191879.955475,RPM,2,8,0,0,0,0,0,5,12,247,0
1478200819.922133,RPM,1088,8,255,0,0,0,255,220,8,0,0
1478192148.845374,RPM,809,8,12,179,126,20,17,32,0,20,0
1478200947.276466,RPM,809,8,12,190,127,20,17,32,0,20,0
1479121636.569431,Normal,304,8,251,127,0,255,75,129,13,125,0
1478194781.479561,gear,1072,8,0,0,0,0,0,0,0,0,0
1479121831.639443,Normal,809,8,135,182,127,20,18,32,0,20,0
1478196141.442256,Fuzzy,320,8,0,0,0,0,6,50,42,3,0
1478192359.750421,RPM,672,8,64,0,145,29,150,2,189,0,0
1478191828.022448,RPM,1349,8,216,0,0,139,0,0,0,0,0
1478192936.543464,RPM,848,8,5,32,212,104,119,0,0,238,0
1478191736.164513,RPM,704,8,21,0,0,0,0,0,0,0,0
1478191142.312382,RPM,672,8,96,0,133,29,150,2,189,0,0
1478192103.734096,RPM,320,8,0,0,0,0,20,19,39,160,0
1478192621.422864,RPM,704,8,21,0,0,0,0,0,0,0,0
1478191164.440518,RPM,1088,8,255,0,0,0,255,172,8,0,0
1478191421.823974,RPM,880,8,0,32,0,0,0,0,0,0,0
1478192750.680491,RPM,339,8,0,33,16,255,0,255,0,0,0
1478192803.531699,RPM,704,8,21,0,0,0,0,0,0,0,0
1478198956.170564,DoS,809,8,134,184,127,20,17,32,0,20,0
1478193910.25472,gear,1087,8,16,64,96,255,123,48,12,0,0
1478192179.481702,RPM,305,8,247,127,0,0,72,127,14,198,0
1478196548.018944,Fuzzy,1635,8,181,135,92,226,101,135,125,132,1
1478192016.184336,RPM,790,8,69,41,36,255,41,36,0,255,1
1478200979.119963,RPM,1087,8,0,64,96,255,126,200,8,0,0
1478192830.348956,RPM,304,8,21,128,0,255,254,127,0,136,0
1478191669.065911,RPM,880,8,0,32,0,0,0,0,0,0,0
1478191087.686395,RPM,880,8,0,32,0,0,0,0,0,0,0
1478192859.147737,RPM,305,8,242,127,0,0,76,127,0,82,0
1478191800.112474,RPM,1087,8,0,64,96,255,118,128,9,0,0
1478200878.022948,Fuzzy,608,8,24,33,33,48,8,143,111,40,0
1478192409.626626,RPM,790,8,69,41,36,255,41,36,0,255,1
1478200782.109894,RPM,2,8,0,0,0,0,0,1,1,91,0
1478193837.3434,gear,497,8,8,0,0,0,0,0,0,0,0
1478195777.970766,Fuzzy,704,8,21,0,0,0,0,0,0,0,0
1478192207.499526,RPM,320,8,0,0,0,0,4,41,32,232,0
1478192496.524745,RPM,790,8,69,41,36,255,41,36,0,255,1
1478191446.281015,RPM,790,8,69,41,36,255,41,36,0,255,1
1478192331.24378,RPM,790,8,5,33,108,9,33,32,0,113,0
1478192208.02377,RPM,880,8,0,32,0,0,0,0,0,0,0
1478192290.407432,RPM,672,8,64,0,144,29,150,2,189,0,0
1478198850.966171,DoS,608,8,24,33,34,48,8,143,112,5,0
1479121644.387916,Normal,339,8,0,0,0,255,0,255,0,0,0
1479121656.200251,Normal,688,5,34,0,0,7,248,0,0,0,0
1479121486.9491,Normal,304,8,181,124,0,255,242,126,10,17,0
1478192085.705208,RPM,2,8,0,0,0,0,0,1,12,218,0
1478192547.515326,RPM,790,8,69,41,36,255,41,36,0,255,1
1479121663.867628,Normal,704,8,20,0,0,0,0,0,0,0,0
1478192640.798117,RPM,497,8,8,0,0,0,0,0,0,0,0
1478201086.634148,RPM,880,8,0,32,0,0,0,0,0,0,0
1478192852.634949,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201080.157645,RPM,1264,8,0,0,0,128,0,105,209,19,0
1479121563.761756,Normal,880,8,0,51,0,2,0,0,0,0,0
1478200876.313399,RPM,880,8,0,32,0,0,0,0,0,0,0
1478191123.667086,RPM,790,8,69,41,36,255,41,36,0,255,1
1479121522.654818,Normal,160,8,73,130,32,20,21,34,2,0,0
1478191660.333329,RPM,790,8,69,41,36,255,41,36,0,255,1
1478197259.613614,Fuzzy,848,8,5,32,4,104,118,0,0,63,0
1479121544.610054,Normal,608,8,6,37,65,48,255,163,205,71,0
1478192171.276585,RPM,672,8,96,0,144,29,150,2,189,0,0
1478192034.69847,RPM,790,8,69,41,36,255,41,36,0,255,1
1478200993.149403,RPM,880,8,0,32,0,0,0,0,0,0,0
1478191338.628645,RPM,608,8,25,34,34,48,255,143,110,63,0
1478191859.788957,RPM,1349,8,216,86,0,140,0,0,0,0,0
1478192277.373789,RPM,848,8,5,32,68,104,117,0,0,124,0
1478192297.771828,RPM,1349,8,216,87,0,140,0,0,0,0,0
1478191911.735716,RPM,790,8,69,41,36,255,41,36,0,255,1
1478192932.07776,RPM,704,8,21,0,0,0,0,0,0,0,0
1478197578.788866,Fuzzy,320,8,0,0,0,0,2,18,39,241,0
1478196461.827902,Fuzzy,339,8,0,33,16,255,0,255,0,0,0
1479121676.216409,Normal,339,8,0,0,0,255,0,255,0,0,0
1478191379.964414,RPM,672,8,0,0,136,29,150,2,189,0,0
1478192339.953725,RPM,320,8,0,0,0,0,10,0,46,36,0
1479121486.180303,Normal,672,8,0,0,107,29,1,4,221,0,0
1478191478.247123,RPM,305,8,238,127,0,0,28,127,15,147,0
1478201207.490634,RPM,1088,8,255,0,0,0,255,162,9,0,0
1478192960.221274,RPM,399,8,254,77,0,0,0,65,0,0,0
1478198180.996726,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478192004.236921,RPM,790,8,69,41,36,255,41,36,0,255,1
1478191471.996858,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478191548.803185,RPM,790,8,69,41,36,255,41,36,0,255,1
1478199573.762297,DoS,304,8,22,128,0,255,58,128,9,125,0
1478192618.870069,RPM,1520,2,1,0,0,0,0,0,0,0,0
1478192671.983921,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201011.021835,RPM,320,8,0,0,0,0,2,32,45,122,0
1478191092.353241,RPM,704,8,21,0,0,0,0,0,0,0,0
1478199991.620154,DoS,1349,8,216,0,0,136,0,0,0,0,0
1479121818.389907,Normal,608,8,49,61,63,48,255,147,109,31,0
1478192645.2867,RPM,320,8,0,0,0,0,2,32,37,146,0
1478191115.034711,RPM,399,8,254,67,0,0,0,65,0,0,0
1478200787.852593,RPM,1440,8,0,0,0,0,0,0,0,0,0
1478191691.167156,RPM,320,8,0,0,0,0,2,19,44,114,0
1479121863.003516,Normal,1087,8,7,71,96,255,106,0,0,0,0
1478192963.159637,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201017.280392,DoS,304,8,14,128,0,255,22,128,15,98,0
1478192017.517502,RPM,339,8,0,33,16,255,0,255,0,0,0
1478191242.561118,RPM,790,8,5,34,116,9,34,33,0,116,0
1478192121.91184,RPM,2,8,0,0,0,0,0,5,1,118,0
1478192314.482995,RPM,305,8,27,128,0,0,48,127,11,73,0
1478196181.374112,Fuzzy,1088,8,255,0,0,0,255,202,8,0,0
1479121709.874329,Normal,339,8,0,0,0,255,0,255,0,0,0
1478192611.997144,RPM,1072,8,0,0,0,0,0,0,0,0,0
1478191177.175748,RPM,305,8,5,128,0,0,51,127,2,136,0
1479121871.57567,Normal,790,8,5,42,176,9,42,33,0,122,0
1478191219.588821,RPM,1349,8,216,0,0,138,0,0,0,0,0
1478191736.922331,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478192661.010988,RPM,848,8,5,32,4,104,120,0,0,49,0
1478193403.316268,gear,790,8,5,32,204,8,32,33,0,112,0
1478196820.41084,Fuzzy,1201,8,41,39,39,35,0,0,0,154,0
1478192412.706458,RPM,809,8,64,185,126,20,17,32,0,20,0
1478192091.470391,RPM,704,8,21,0,0,0,0,0,0,0,0
1478191187.735969,RPM,790,8,5,33,124,9,33,32,0,116,0
1478191118.961456,RPM,399,8,254,67,0,0,0,65,0,0,0
1478192809.089424,RPM,2,8,0,0,0,0,0,5,2,81,0
1478200990.748942,RPM,790,8,5,37,12,10,37,34,0,111,0
1478191094.621166,RPM,704,8,21,0,0,0,0,0,0,0,0
1478192198.878133,RPM,1072,8,0,0,0,0,0,0,0,0,0
1478191208.410917,RPM,1072,8,0,0,0,0,0,0,0,0,0
1478192242.706778,RPM,304,8,7,128,0,255,2,128,1,85,0
1478192059.783838,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201138.746853,gear,305,8,251,127,0,0,43,127,2,61,0
1478201023.73248,RPM,672,8,36,0,154,29,151,2,189,0,0
1478192076.908268,RPM,1264,8,0,0,0,128,0,103,209,19,0
1478191708.37886,RPM,704,8,21,0,0,0,0,0,0,0,0
1478192888.954673,RPM,320,8,0,0,0,0,4,3,37,54,0
1478192356.196501,RPM,704,8,21,0,0,0,0,0,0,0,0
1478192832.412666,RPM,790,8,69,41,36,255,41,36,0,255,1
1478191129.773265,RPM,809,8,220,185,126,20,17,32,0,20,0
1478201007.990846,RPM,1201,8,41,39,39,35,0,0,0,154,0
1478193689.764913,gear,1087,8,1,69,96,255,107,0,0,0,1
1478191220.260993,RPM,304,8,10,128,0,255,51,128,7,90,0
1478192360.241693,RPM,848,8,5,32,100,104,115,0,0,90,0
1479121742.767244,Normal,1520,2,244,0,0,0,0,0,0,0,0
1478191438.145332,RPM,790,8,5,34,112,9,34,32,0,115,0
1478197544.909069,Fuzzy,704,8,20,0,0,0,0,0,0,0,0
1478201003.618579,RPM,399,8,254,88,0,0,0,65,0,0,0
1479121861.634317,Normal,2,8,0,0,0,0,0,0,9,255,0
1479121737.220275,Normal,848,8,5,40,244,104,106,0,0,219,0
1478200501.295072,DoS,880,8,0,32,0,0,0,0,0,0,0
1478192465.234763,RPM,339,8,0,33,16,255,0,255,0,0,0
1478192245.205266,RPM,704,8,21,0,0,0,0,0,0,0,0
1479121922.280929,Normal,497,8,0,160,4,64,0,3,64,0,0
1478196896.570872,Fuzzy,1087,8,0,64,96,255,126,194,8,0,0
1478192698.730258,RPM,1349,8,216,0,0,128,0,0,0,0,0
1478192921.601132,RPM,880,8,0,32,0,0,0,0,0,0,0
1478197230.127462,Fuzzy,880,8,0,32,0,0,0,0,0,0,0
1478200946.403104,RPM,339,8,0,33,16,255,0,255,0,0,0
1478192367.426268,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201034.020199,gear,304,8,8,128,0,255,18,128,9,249,0
1478200967.769488,RPM,1088,8,255,0,0,0,255,206,8,0,0
1478191615.798687,RPM,2,8,0,0,0,0,0,3,11,17,0
1478197535.040939,Fuzzy,2,8,0,0,0,0,0,1,0,70,0
1478201017.40783,RPM,809,8,64,181,127,20,17,32,0,20,0
1478192783.443638,RPM,1087,8,0,64,96,255,122,199,8,0,0
1479121896.802142,Normal,1072,8,0,0,0,0,0,0,0,0,0
1478192591.057272,RPM,790,8,5,33,60,10,33,30,0,113,0
1478192296.072917,RPM,672,8,32,0,144,29,150,2,189,0,0
1478199563.496723,DoS,608,8,25,33,33,48,8,142,105,12,0
1478201040.418824,RPM,1264,8,0,0,0,128,0,105,209,19,0
1478192557.560087,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478192966.441919,RPM,1264,8,0,0,0,128,0,103,209,19,0
1478196668.058965,Fuzzy,608,8,29,33,33,48,8,142,87,26,0
1478192500.222545,RPM,790,8,5,34,112,9,34,33,0,113,0
1478192893.683275,RPM,1072,8,0,0,0,0,0,0,0,0,0
1478191909.033182,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478197720.646664,Fuzzy,692,8,11,179,75,121,40,193,107,219,1
1478192740.582127,RPM,304,8,10,128,0,255,28,128,15,4,0
1479121483.250336,Normal,305,8,219,127,0,0,71,128,8,155,0
1478191482.398198,RPM,320,8,0,0,0,0,14,34,46,207,0
1478191544.078095,RPM,790,8,69,41,36,255,41,36,0,255,1
1478201041.048353,RPM,1349,8,216,91,0,138,0,0,0,0,0
1478200732.412232,Fuzzy,339,8,0,33,16,255,0,255,0,0,0
1479121446.222737,Normal,608,8,49,60,57,48,255,146,105,27,0
1479121516.313914,Normal,608,8,33,101,98,48,255,184,174,76,0
1478192742.895219,RPM,1087,8,0,64,96,255,122,199,8,0,0
1478201111.659403,RPM,672,8,36,0,155,29,151,2,189,0,0
1478192255.989629,RPM,1349,8,216,84,0,140,0,0,0,0,0
1478201152.985305,RPM,2,8,0,0,0,0,0,3,2,228,0
1478191716.843386,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478201083.842471,RPM,672,8,36,0,154,29,151,2,189,0,0
1478191167.052239,RPM,809,8,64,187,126,20,17,32,0,20,0
1478192581.364916,RPM,848,8,5,32,4,104,118,0,0,63,0
1478192572.298699,RPM,848,8,5,32,84,104,117,0,0,108,0
1478192578.119262,RPM,1201,8,0,0,0,0,0,0,0,0,0
1478191281.567601,RPM,1087,8,0,64,96,255,115,187,8,0,0
1478192587.71134,RPM,1349,8,216,0,0,140,0,0,0,0,0
1478200777.366742,RPM,672,8,4,0,154,29,151,2,189,0,0
1479121740.871528,Normal,160,8,166,127,100,25,27,47,2,0,0
1478194250.275425,gear,672,8,64,0,150,29,151,2,189,0,0
1478194961.011979,gear,497,8,8,0,0,0,0,0,0,0,0
1478195783.104297,Fuzzy,1373,8,151,108,179,31,154,221,36,210,1
1479121812.075083,Normal,399,8,254,45,0,0,0,76,0,0,0
1478191243.450896,RPM,320,8,0,0,0,0,16,41,38,184,0
1478194623.322467,gear,1088,8,255,0,0,0,255,26,8,0,0
