ts,source,can_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label
1479121701.33589,Normal,304,8,19,128,0,255,208,128,10,241,0
1478194554.27886,gear,1088,8,255,0,0,0,255,46,8,0,0
1478200903.871044,gear,790,8,5,33,52,10,33,30,0,111,0
1479121880.848604,Normal,688,5,52,20,10,7,120,0,0,0,0
1479121442.92688,Normal,1349,8,216,129,0,143,0,0,0,0,0
1478196369.410785,Fuzzy,497,8,8,0,0,0,0,0,0,0,0
1478195008.607521,gear,1087,8,1,69,96,255,107,0,0,0,1
1478201156.67235,gear,1349,8,216,90,0,128,0,0,0,0,0
1478201146.477281,gear,1087,8,0,64,96,255,126,201,8,0,0
1478194437.841708,gear,1264,8,0,0,0,128,0,103,209,19,0
1478193247.986684,gear,1349,8,216,0,0,130,0,0,0,0,0
1478194884.55483,gear,1072,8,0,0,0,0,0,0,0,0,0
1478199200.300995,DoS,0,8,0,0,0,0,0,0,0,0,1
1478199725.34492,DoS,880,8,0,32,0,0,0,0,0,0,0
1478200993.609383,DoS,880,8,0,32,0,0,0,0,0,0,0
1478194071.964679,gear,1087,8,1,69,96,255,107,0,0,0,1
1478193526.840745,gear,161,8,128,139,0,0,37,0,0,0,0
1478197161.478616,Fuzzy,608,8,25,33,34,48,8,142,108,8,0
1478194416.786799,gear,305,8,242,127,0,0,62,127,1,4,0
1478194083.905575,gear,1088,8,255,0,0,0,255,70,12,0,0
1478193732.489666,gear,305,8,18,128,0,0,50,127,0,10,0
1478194651.031041,gear,399,8,254,86,0,0,0,64,0,0,0
1478200984.134636,gear,399,8,254,86,0,0,0,60,0,0,0
1478199865.402069,DoS,0,8,0,0,0,0,0,0,0,0,1
1479121475.059376,Normal,304,8,90,127,0,255,5,129,5,111,0
1478194268.004582,gear,304,8,8,128,0,255,14,128,2,36,0
1479121488.592644,Normal,704,8,20,0,0,0,0,0,0,0,0
1478195102.740706,gear,1520,2,1,0,0,0,0,0,0,0,0
1478194966.379839,gear,809,8,12,190,127,20,17,32,0,20,0
1478191255.758918,RPM,704,8,21,0,0,0,0,0,0,0,0
1478200801.640042,RPM,2,8,0,0,0,0,0,3,2,228,0
1478193644.166132,gear,1440,8,0,0,0,0,0,0,0,0,0
1479121807.000298,Normal,1349,8,216,97,0,141,0,0,0,0,0
1478201113.464713,gear,704,8,20,0,0,0,0,0,0,0,0
1478197112.169427,Fuzzy,305,8,0,128,0,0,22,127,15,132,0
1478200996.418951,gear,1680,8,0,0,1,0,160,34,0,0,0
1478200855.472557,gear,880,8,0,32,0,0,0,0,0,0,0
1478193750.222103,gear,704,8,21,0,0,0,0,0,0,0,0
1478201103.203577,gear,704,8,20,0,0,0,0,0,0,0,0
