round,phase,active_task,client_id,client_main,attack,fast_recall
1,0,DoS,0,DoS,DoS,1.0
1,0,DoS,0,DoS,Fuzzy,0.0
1,0,DoS,0,DoS,RPM,0.0
1,0,DoS,0,DoS,gear,0.0
1,0,DoS,1,Fuzzy,DoS,0.0
1,0,DoS,1,Fuzzy,Fuzzy,0.0
1,0,DoS,1,Fuzzy,RPM,0.0
1,0,DoS,1,Fuzzy,gear,0.0
1,0,DoS,2,RPM,DoS,0.0
1,0,DoS,2,RPM,Fuzzy,0.0
1,0,DoS,2,RPM,RPM,0.0
1,0,DoS,2,RPM,gear,0.0
1,0,DoS,3,gear,DoS,0.0
1,0,DoS,3,gear,Fuzzy,0.0
1,0,DoS,3,gear,RPM,0.0
1,0,DoS,3,gear,gear,0.0
2,0,DoS,0,DoS,DoS,1.0
2,0,DoS,0,DoS,Fuzzy,0.0
2,0,DoS,0,DoS,RPM,0.0
2,0,DoS,0,DoS,gear,0.0
2,0,DoS,1,Fuzzy,DoS,1.0
2,0,DoS,1,Fuzzy,Fuzzy,0.0
2,0,DoS,1,Fuzzy,RPM,0.0
2,0,DoS,1,Fuzzy,gear,0.0
2,0,DoS,2,RPM,DoS,1.0
2,0,DoS,2,RPM,Fuzzy,0.0
2,0,DoS,2,RPM,RPM,0.0
2,0,DoS,2,RPM,gear,0.0
2,0,DoS,3,gear,DoS,1.0
2,0,DoS,3,gear,Fuzzy,0.0
2,0,DoS,3,gear,RPM,0.0
2,0,DoS,3,gear,gear,0.0
3,0,DoS,0,DoS,DoS,1.0
3,0,DoS,0,DoS,Fuzzy,0.0
3,0,DoS,0,DoS,RPM,0.0
3,0,DoS,0,DoS,gear,0.0
3,0,DoS,1,Fuzzy,DoS,1.0
3,0,DoS,1,Fuzzy,Fuzzy,0.0
3,0,DoS,1,Fuzzy,RPM,0.0
3,0,DoS,1,Fuzzy,gear,0.0
3,0,DoS,2,RPM,DoS,1.0
3,0,DoS,2,RPM,Fuzzy,0.0
3,0,DoS,2,RPM,RPM,0.0
3,0,DoS,2,RPM,gear,0.0
3,0,DoS,3,gear,DoS,1.0
3,0,DoS,3,gear,Fuzzy,0.0
3,0,DoS,3,gear,RPM,0.0
3,0,DoS,3,gear,gear,0.0
4,0,DoS,0,DoS,DoS,1.0
4,0,DoS,0,DoS,Fuzzy,0.0
4,0,DoS,0,DoS,RPM,0.0
4,0,DoS,0,DoS,gear,0.0
4,0,DoS,1,Fuzzy,DoS,1.0
4,0,DoS,1,Fuzzy,Fuzzy,0.0
4,0,DoS,1,Fuzzy,RPM,0.0
4,0,DoS,1,Fuzzy,gear,0.0
4,0,DoS,2,RPM,DoS,1.0
4,0,DoS,2,RPM,Fuzzy,0.0
4,0,DoS,2,RPM,RPM,0.0
4,0,DoS,2,RPM,gear,0.0
4,0,DoS,3,gear,DoS,1.0
4,0,DoS,3,gear,Fuzzy,0.0
4,0,DoS,3,gear,RPM,0.0
4,0,DoS,3,gear,gear,0.0
5,0,DoS,0,DoS,DoS,1.0
5,0,DoS,0,DoS,Fuzzy,0.0
5,0,DoS,0,DoS,RPM,0.0
5,0,DoS,0,DoS,gear,0.0
5,0,DoS,1,Fuzzy,DoS,1.0
5,0,DoS,1,Fuzzy,Fuzzy,0.0
5,0,DoS,1,Fuzzy,RPM,0.0
5,0,DoS,1,Fuzzy,gear,0.0
5,0,DoS,2,RPM,DoS,1.0
5,0,DoS,2,RPM,Fuzzy,0.0
5,0,DoS,2,RPM,RPM,0.0
5,0,DoS,2,RPM,gear,0.0
5,0,DoS,3,gear,DoS,1.0
5,0,DoS,3,gear,Fuzzy,0.0
5,0,DoS,3,gear,RPM,0.0
5,0,DoS,3,gear,gear,0.0
6,0,DoS,0,DoS,DoS,1.0
6,0,DoS,0,DoS,Fuzzy,0.0
6,0,DoS,0,DoS,RPM,0.0
6,0,DoS,0,DoS,gear,0.0
6,0,DoS,1,Fuzzy,DoS,1.0
6,0,DoS,1,Fuzzy,Fuzzy,0.0
6,0,DoS,1,Fuzzy,RPM,0.0
6,0,DoS,1,Fuzzy,gear,0.0
6,0,DoS,2,RPM,DoS,1.0
6,0,DoS,2,RPM,Fuzzy,0.0
6,0,DoS,2,RPM,RPM,0.0
6,0,DoS,2,RPM,gear,0.0
6,0,DoS,3,gear,DoS,1.0
6,0,DoS,3,gear,Fuzzy,0.0
6,0,DoS,3,gear,RPM,0.0
6,0,DoS,3,gear,gear,0.0
7,0,DoS,0,DoS,DoS,1.0
7,0,DoS,0,DoS,Fuzzy,0.0
7,0,DoS,0,DoS,RPM,0.0
7,0,DoS,0,DoS,gear,0.0
7,0,DoS,1,Fuzzy,DoS,1.0
7,0,DoS,1,Fuzzy,Fuzzy,0.0
7,0,DoS,1,Fuzzy,RPM,0.0
