can_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7,label,source
413,8,67,44,60,211,0,12,154,126,0,Normal
485,8,92,0,48,112,0,0,1,56,0,Normal
840,5,0,0,0,0,27,0,0,0,0,Normal
398,8,1,71,96,255,107,0,0,0,1,Malfunction
499,3,192,252,0,0,0,0,0,0,0,Normal
389,2,27,251,0,0,0,0,0,0,0,Normal
431,8,0,0,0,0,0,0,134,255,0,Normal
562,8,0,0,0,8,0,0,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
842,5,0,0,0,0,27,0,0,0,0,Normal
532,6,6,0,97,253,108,53,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
442,8,6,153,105,150,138,105,167,37,0,Normal
193,8,81,23,72,16,17,67,82,136,0,Normal
2011,8,225,69,40,189,165,27,125,199,1,Fuzzy
197,8,16,22,212,96,19,172,12,21,0,Normal
1004,8,118,211,251,242,70,216,230,51,1,Fuzzy
398,8,1,71,96,255,107,0,0,0,1,Malfunction
0,8,0,0,0,0,0,0,0,0,1,Flooding
398,8,1,71,96,255,107,0,0,0,1,Malfunction
844,8,250,157,15,253,3,250,0,12,0,Normal
407,4,0,0,0,0,0,0,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
398,8,1,71,96,255,107,0,0,0,1,Malfunction
199,4,0,7,2,32,0,0,0,0,0,Normal
786,8,115,253,180,138,65,109,145,79,1,Fuzzy
0,8,0,0,0,0,0,0,0,0,1,Flooding
190,6,0,0,0,3,232,0,0,0,0,Normal
485,8,92,0,48,16,0,0,0,216,0,Normal
241,6,0,1,0,64,0,0,0,0,0,Normal
199,4,0,7,2,32,0,0,0,0,0,Normal
170,8,43,221,44,84,68,83,170,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
707,8,7,78,6,134,0,0,77,0,0,Normal
197,8,16,22,212,96,19,172,12,21,0,Normal
979,8,128,0,32,0,127,253,81,0,0,Normal
209,7,128,0,191,254,0,254,0,0,0,Normal
431,8,0,0,0,0,0,0,134,255,0,Normal
707,8,7,77,6,134,0,0,79,0,0,Normal
40,8,175,106,4,250,170,71,238,81,1,Fuzzy
0,8,0,0,0,0,0,0,0,0,1,Flooding
0,8,0,0,0,0,0,0,0,0,1,Flooding
401,8,6,154,6,170,6,152,0,0,0,Normal
170,8,43,209,44,76,64,83,180,0,0,Normal
442,8,6,153,105,150,138,105,151,37,0,Normal
422,4,64,0,0,0,0,0,0,0,0,Normal
489,8,0,16,0,14,15,254,0,0,0,Normal
193,8,81,23,72,16,17,67,82,136,0,Normal
393,7,143,255,15,255,47,255,45,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
489,8,0,8,0,14,15,254,0,0,0,Normal
389,2,27,252,0,0,0,0,0,0,0,Normal
197,8,0,22,212,96,3,172,12,21,0,Normal
398,8,1,71,96,255,107,0,0,0,1,Malfunction
417,7,0,0,1,65,106,106,0,0,0,Normal
1009,8,0,162,95,8,0,255,10,79,0,Normal
419,1,128,0,0,0,0,0,0,0,0,Normal
199,4,0,7,2,32,0,0,0,0,0,Normal
313,8,0,0,0,0,0,0,0,0,0,Normal
562,8,0,0,0,8,0,0,0,0,0,Normal
1646,8,126,214,147,67,115,82,80,96,1,Fuzzy
1529,8,145,28,12,178,10,103,233,47,1,Fuzzy
452,8,0,98,192,48,0,0,0,0,0,Normal
485,8,92,0,48,48,0,0,0,248,0,Normal
398,8,0,0,0,105,166,153,6,153,0,Normal
209,7,64,0,127,255,0,255,0,0,0,Normal
197,8,48,22,212,96,51,172,12,21,0,Normal
249,8,0,0,64,0,0,0,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
199,4,0,7,2,32,0,0,0,0,0,Normal
209,7,0,0,0,0,0,0,0,0,0,Normal
401,8,6,153,6,170,6,154,0,0,0,Normal
264,8,208,49,46,13,58,189,0,220,1,Fuzzy
209,7,192,0,255,253,0,253,0,0,0,Normal
707,8,7,77,6,134,0,0,79,0,0,Normal
426,7,0,104,102,136,106,144,0,0,0,Normal
489,8,0,12,0,14,15,254,0,0,0,Normal
398,8,1,71,96,255,107,0,0,0,1,Malfunction
185,8,242,190,239,228,8,124,154,226,1,Fuzzy
393,7,207,255,15,255,47,254,45,0,0,Normal
455,7,0,0,191,254,0,0,63,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
705,8,211,95,248,173,36,241,216,181,1,Fuzzy
845,8,201,71,15,102,225,156,127,50,1,Fuzzy
452,8,74,98,192,48,4,0,5,254,0,Normal
190,6,8,0,0,3,233,254,0,0,0,Normal
1907,7,0,40,0,0,0,0,0,0,0,Normal
193,8,113,23,72,16,49,67,82,136,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
532,6,4,0,65,254,72,42,0,0,0,Normal
479,4,128,2,0,0,0,0,0,0,0,Normal
389,2,27,252,0,0,0,0,0,0,0,Normal
508,8,254,176,0,157,0,0,2,138,0,Normal
532,6,0,0,0,0,0,0,0,0,0,Normal
209,7,64,0,127,255,0,255,0,0,0,Normal
481,7,0,0,0,0,0,0,0,0,0,Normal
193,8,65,23,72,16,1,67,82,136,0,Normal
398,8,1,71,96,255,107,0,0,0,1,Malfunction
561,8,252,11,155,41,142,118,102,52,1,Fuzzy
352,5,226,14,118,34,3,0,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,1,Flooding
201,8,132,13,61,10,0,0,24,0,0,Normal
398,8,1,71,96,255,107,0,0,0,1,Malfunction
193,8,65,23,72,16,1,67,82,136,0,Normal
398,8,0,0,0,105,166,153,6,153,0,Normal
